adjudication_row,component,requirement,root_box_id,record_id,freeze_route_kind,freeze_route_status,min_surplus,numeric_clearance_ok,route_status_ok,strict_numeric_required,adjudication_status,adjudication_pass,failure_reason,proof_boundary
11,TENSOR,event_aware_interval_replay_required,D060-00003601,A062-D060-00003601.d1rho0.d2rho1.d3x30.d4y30.d5x50.d6y51.d7rho0.d8x31.d9y31.d10x50.d11y51.d12rho0,p0_event_aware_support_area_record_freeze_candidate,frozen_event_aware_candidate_pending_interval_replay,0.000918509765013,True,True,False,pass_event_aware_interval_replay,True,,candidate_final_adjudication_replay_not_external_formalization
12,TENSOR,event_aware_interval_replay_required,D060-00006002,A062-D060-00006002.d1rho0.d2rho0.d3x31.d4y30.d5x51.d6y51.d7rho1.d8x30.d9y30.d10x51.d11y51.d12rho1,p0_event_aware_support_area_record_freeze_candidate,frozen_event_aware_candidate_pending_interval_replay,0.000943456005141,True,True,False,pass_event_aware_interval_replay,True,,candidate_final_adjudication_replay_not_external_formalization
13,TENSOR,event_aware_interval_replay_required,D060-00006002,A062-D060-00006002.d1rho0.d2rho0.d3x31.d4y30.d5x51.d6y51.d7rho1.d8x30.d9y31.d10x51.d11y51.d12rho1,p0_event_aware_support_area_record_freeze_candidate,frozen_event_aware_candidate_pending_interval_replay,0.000918509765013,True,True,False,pass_event_aware_interval_replay,True,,candidate_final_adjudication_replay_not_external_formalization
14,TENSOR,event_aware_interval_replay_required,D060-00006002,A062-D060-00006002.d1rho0.d2rho1.d3x30.d4y30.d5x51.d6y51.d7rho0.d8x31.d9y30.d10x50.d11y51.d12rho0,p0_event_aware_support_area_record_freeze_candidate,frozen_event_aware_candidate_pending_interval_replay,0.000951109880307,True,True,False,pass_event_aware_interval_replay,True,,candidate_final_adjudication_replay_not_external_formalization
15,TENSOR,event_aware_interval_replay_required,D060-00006002,A062-D060-00006002.d1rho1.d2rho0.d3x31.d4y30.d5x51.d6y51.d7rho0.d8x30.d9y31.d10x50.d11y51.d12rho0,p0_event_aware_support_area_record_freeze_candidate,frozen_event_aware_candidate_pending_interval_replay,0.00086008561555,True,True,False,pass_event_aware_interval_replay,True,,candidate_final_adjudication_replay_not_external_formalization
16,TENSOR,event_aware_interval_replay_required,D060-00006002,A062-D060-00006002.d1rho1.d2rho0.d3x31.d4y30.d5x51.d6y51.d7rho1.d8x31.d9y31.d10x51.d11y51.d12rho1,p0_event_aware_support_area_record_freeze_candidate,frozen_event_aware_candidate_pending_interval_replay,0.000941806057577,True,True,False,pass_event_aware_interval_replay,True,,candidate_final_adjudication_replay_not_external_formalization
17,TENSOR,event_aware_interval_replay_required,D060-00010804,A062-D060-00010804.d1rho1.d2rho1.d3x30.d4y30.d5x51.d6y50.d7rho0.d8x31.d9y31.d10x50.d11y50.d12rho1,p0_event_aware_support_area_record_freeze_candidate,frozen_event_aware_candidate_pending_interval_replay,0.000754239135314,True,True,False,pass_event_aware_interval_replay,True,,candidate_final_adjudication_replay_not_external_formalization
18,TENSOR,event_aware_interval_replay_required,D060-00013205,A062-D060-00013205.d1rho1.d2rho0.d3x31.d4y30.d5x50.d6y50.d7rho1.d8x30.d9y31.d10x51.d11y50.d12rho0,p0_event_aware_support_area_record_freeze_candidate,frozen_event_aware_candidate_pending_interval_replay,0.000754239135314,True,True,False,pass_event_aware_interval_replay,True,,candidate_final_adjudication_replay_not_external_formalization
19,TENSOR,event_aware_interval_replay_required,D060-00001200,A062-D060-00001200.d1rho0.d2rho1.d3x30.d4y31.d5x50.d6y51.d7rho0.d8x31.d9y30.d10x50.d11y50.d12rho1,p0_event_aware_support_area_record_freeze_candidate,frozen_event_aware_candidate_pending_interval_replay,0.000669388830918,True,True,False,pass_event_aware_interval_replay,True,,candidate_final_adjudication_replay_not_external_formalization
20,TENSOR,event_aware_interval_replay_required,D060-00008403,A062-D060-00008403.d1rho0.d2rho0.d3x31.d4y31.d5x51.d6y51.d7rho1.d8x30.d9y30.d10x51.d11y50.d12rho0,p0_event_aware_support_area_record_freeze_candidate,frozen_event_aware_candidate_pending_interval_replay,0.000669388830918,True,True,False,pass_event_aware_interval_replay,True,,candidate_final_adjudication_replay_not_external_formalization
21,TENSOR,event_aware_interval_replay_required,D060-00003601,A062-D060-00003601.d1rho0.d2rho1.d3x30.d4y30.d5x50.d6y51.d7rho0.d8x31.d9y31.d10x51.d11y51.d12rho1,p0_event_aware_support_area_record_freeze_candidate,frozen_event_aware_candidate_pending_interval_replay,0.000871658717186,True,True,False,pass_event_aware_interval_replay,True,,candidate_final_adjudication_replay_not_external_formalization
22,TENSOR,event_aware_interval_replay_required,D060-00006002,A062-D060-00006002.d1rho0.d2rho0.d3x31.d4y30.d5x51.d6y51.d7rho1.d8x30.d9y31.d10x50.d11y51.d12rho0,p0_event_aware_support_area_record_freeze_candidate,frozen_event_aware_candidate_pending_interval_replay,0.000871658717185,True,True,False,pass_event_aware_interval_replay,True,,candidate_final_adjudication_replay_not_external_formalization
23,TENSOR,event_aware_interval_replay_required,D060-00001200,A062-D060-00001200.d1rho0.d2rho1.d3x30.d4y31.d5x50.d6y51.d7rho1.d8x30.d9y30.d10x50.d11y50.d12rho1,p0_event_aware_support_area_record_freeze_candidate,frozen_event_aware_candidate_pending_interval_replay,0.000751087847462,True,True,False,pass_event_aware_interval_replay,True,,candidate_final_adjudication_replay_not_external_formalization
24,TENSOR,event_aware_interval_replay_required,D060-00008403,A062-D060-00008403.d1rho0.d2rho0.d3x31.d4y31.d5x51.d6y51.d7rho0.d8x31.d9y30.d10x51.d11y50.d12rho0,p0_event_aware_support_area_record_freeze_candidate,frozen_event_aware_candidate_pending_interval_replay,0.000751087847462,True,True,False,pass_event_aware_interval_replay,True,,candidate_final_adjudication_replay_not_external_formalization
25,H004,common_source_event_aware_interval_replay_required,D060-00006002,A062-D060-00006002.d1rho1.d2rho1.d3y51.d4x51.d5y31.d6x31.d7rho0.d8y51.d9x51.d10y30.d11x30.d12rho1.d13x50.d14y30.d15x31.d16rho1.d17y31.d18y50.d19x31.d20rho0.d21x51.d22y50.d23y50.d24x50.d25y31.d26rho0.d27x30,h004_common_source_event_aware_record_freeze_candidate,frozen_common_source_event_aware_candidate_pending_interval_replay,0.000653036913091,True,True,False,pass_event_aware_interval_replay,True,,candidate_final_adjudication_replay_not_external_formalization
26,H004,common_source_event_aware_interval_replay_required,D060-00006002,A062-D060-00006002.d1rho1.d2rho1.d3y51.d4x51.d5y31.d6x31.d7rho0.d8y51.d9x51.d10y30.d11x30.d12rho1.d13x50.d14y30.d15x31.d16rho1.d17y31.d18y50.d19x31.d20rho0.d21x51.d22y50.d23y50.d24x51.d25y31.d26rho0.d27x30,h004_common_source_event_aware_record_freeze_candidate,frozen_common_source_event_aware_candidate_pending_interval_replay,0.000653036913091,True,True,False,pass_event_aware_interval_replay,True,,candidate_final_adjudication_replay_not_external_formalization
27,H004,common_source_event_aware_interval_replay_required,D060-00006002,A062-D060-00006002.d1rho1.d2rho1.d3y51.d4x51.d5y31.d6x31.d7rho0.d8y51.d9x51.d10y30.d11x30.d12rho1.d13x50.d14y30.d15x31.d16rho0.d17y31.d18y50.d19x31.d20x51.d21y50.d22y50.d23x51.d24y30.d25rho1.d26rho1.d27x30,h004_common_source_event_aware_record_freeze_candidate,frozen_common_source_event_aware_candidate_pending_interval_replay,0.000653809816919,True,True,False,pass_event_aware_interval_replay,True,,candidate_final_adjudication_replay_not_external_formalization
28,H004,common_source_event_aware_interval_replay_required,D060-00006002,A062-D060-00006002.d1rho1.d2rho1.d3y51.d4x51.d5y31.d6x31.d7rho0.d8y51.d9x51.d10y30.d11x30.d12rho1.d13x50.d14y30.d15x31.d16rho1.d17y31.d18y50.d19x30.d20rho1.d21x51.d22y50.d23y50.d24x51.d25y31.d26x30.d27rho0,h004_common_source_event_aware_record_freeze_candidate,frozen_common_source_event_aware_candidate_pending_interval_replay,0.00065867981935,True,True,False,pass_event_aware_interval_replay,True,,candidate_final_adjudication_replay_not_external_formalization
29,H004,common_source_event_aware_interval_replay_required,D060-00006002,A062-D060-00006002.d1rho1.d2rho1.d3y51.d4x51.d5y31.d6x31.d7rho0.d8y51.d9x51.d10y30.d11x30.d12rho1.d13x50.d14y30.d15x31.d16rho1.d17y31.d18y50.d19x30.d20rho1.d21x51.d22y50.d23y50.d24x51.d25y30.d26x31.d27rho0,h004_common_source_event_aware_record_freeze_candidate,frozen_common_source_event_aware_candidate_pending_interval_replay,0.000663551850671,True,True,False,pass_event_aware_interval_replay,True,,candidate_final_adjudication_replay_not_external_formalization
30,H004,common_source_event_aware_interval_replay_required,D060-00006002,A062-D060-00006002.d1rho1.d2rho1.d3y51.d4x51.d5y31.d6x31.d7rho0.d8y51.d9x51.d10y30.d11x30.d12rho1.d13x51.d14y30.d15x31.d16rho1.d17y31.d18y50.d19x30.d20rho1.d21y50.d22x50.d23y50.d24x50.d25y30.d26x31.d27rho0,h004_common_source_event_aware_record_freeze_candidate,frozen_common_source_event_aware_candidate_pending_interval_replay,0.000663551850671,True,True,False,pass_event_aware_interval_replay,True,,candidate_final_adjudication_replay_not_external_formalization
31,H004,common_source_event_aware_interval_replay_required,D060-00006002,A062-D060-00006002.d1rho1.d2rho1.d3y51.d4x51.d5y31.d6x31.d7rho0.d8y51.d9x51.d10y30.d11x30.d12rho1.d13x51.d14y30.d15x31.d16rho1.d17y31.d18y50.d19x30.d20rho1.d21y50.d22x50.d23y50.d24x50.d25y31.d26x30.d27rho0,h004_common_source_event_aware_record_freeze_candidate,frozen_common_source_event_aware_candidate_pending_interval_replay,0.000663551850671,True,True,False,pass_event_aware_interval_replay,True,,candidate_final_adjudication_replay_not_external_formalization
32,H004,common_source_event_aware_interval_replay_required,D060-00006002,A062-D060-00006002.d1rho1.d2rho1.d3y51.d4x51.d5y31.d6x31.d7rho0.d8y51.d9x51.d10y30.d11x30.d12rho1.d13x51.d14y30.d15x31.d16rho1.d17y31.d18y50.d19x30.d20rho1.d21y50.d22x50.d23y50.d24x50.d25y31.d26x31.d27rho0,h004_common_source_event_aware_record_freeze_candidate,frozen_common_source_event_aware_candidate_pending_interval_replay,0.000663551850671,True,True,False,pass_event_aware_interval_replay,True,,candidate_final_adjudication_replay_not_external_formalization
33,H004,common_source_event_aware_interval_replay_required,D060-00006002,A062-D060-00006002.d1rho1.d2rho1.d3y51.d4x51.d5y31.d6x31.d7rho0.d8y51.d9x51.d10y30.d11x30.d12rho1.d13x50.d14y30.d15x31.d16rho1.d17y31.d18y50.d19x31.d20rho0.d21x51.d22y50.d23y50.d24x51.d25y31.d26rho1.d27x30,h004_common_source_event_aware_record_freeze_candidate,frozen_common_source_event_aware_candidate_pending_interval_replay,0.000666379642693,True,True,False,pass_event_aware_interval_replay,True,,candidate_final_adjudication_replay_not_external_formalization
34,H004,common_source_event_aware_interval_replay_required,D060-00006002,A062-D060-00006002.d1rho1.d2rho1.d3y51.d4x51.d5y31.d6x31.d7rho0.d8y51.d9x51.d10y30.d11x30.d12rho1.d13x50.d14y30.d15x30.d16rho1.d17y31.d18y50.d19rho0.d20x51.d21y50.d22x31.d23y50.d24x51.d25y31.d26x31,h004_common_source_event_aware_record_freeze_candidate,frozen_common_source_event_aware_candidate_pending_interval_replay,0.000673435161579,True,True,False,pass_event_aware_interval_replay,True,,candidate_final_adjudication_replay_not_external_formalization
35,H004,common_source_event_aware_interval_replay_required,D060-00006002,A062-D060-00006002.d1rho1.d2rho1.d3y51.d4x51.d5y31.d6x31.d7rho0.d8y51.d9x51.d10y30.d11x30.d12rho1.d13x50.d14y30.d15x30.d16rho1.d17y31.d18y50.d19rho1.d20x51.d21y50.d22x31.d23y50.d24x51.d25y31.d26x31.d27rho0,h004_common_source_event_aware_record_freeze_candidate,frozen_common_source_event_aware_candidate_pending_interval_replay,0.000673435161579,True,True,False,pass_event_aware_interval_replay,True,,candidate_final_adjudication_replay_not_external_formalization
36,H004,common_source_event_aware_interval_replay_required,D060-00006002,A062-D060-00006002.d1rho1.d2rho1.d3y51.d4x51.d5y31.d6x31.d7rho0.d8y51.d9x51.d10y30.d11x30.d12rho1.d13x51.d14y30.d15x30.d16rho1.d17y31.d18y50.d19rho0.d20y50.d21x50.d22x31.d23y50.d24x50.d25y31.d26x31,h004_common_source_event_aware_record_freeze_candidate,frozen_common_source_event_aware_candidate_pending_interval_replay,0.000673435161579,True,True,False,pass_event_aware_interval_replay,True,,candidate_final_adjudication_replay_not_external_formalization
37,H004,common_source_event_aware_interval_replay_required,D060-00006002,A062-D060-00006002.d1rho1.d2rho1.d3y51.d4x51.d5y31.d6x31.d7rho0.d8y51.d9x51.d10y30.d11x30.d12rho1.d13x51.d14y30.d15x30.d16rho1.d17y31.d18y50.d19rho1.d20y50.d21x50.d22x31.d23y50.d24x50.d25y31.d26x31.d27rho0,h004_common_source_event_aware_record_freeze_candidate,frozen_common_source_event_aware_candidate_pending_interval_replay,0.000673435161579,True,True,False,pass_event_aware_interval_replay,True,,candidate_final_adjudication_replay_not_external_formalization
38,H004,common_source_event_aware_interval_replay_required,D060-00006002,A062-D060-00006002.d1rho1.d2rho1.d3y51.d4x51.d5y31.d6x31.d7rho0.d8y51.d9x51.d10y30.d11x30.d12rho1.d13x50.d14y30.d15x31.d16rho1.d17y31.d18y50.d19x31.d20rho0.d21x51.d22y50.d23y50.d24x50.d25y31.d26rho1.d27x30,h004_common_source_event_aware_record_freeze_candidate,frozen_common_source_event_aware_candidate_pending_interval_replay,0.000674683325786,True,True,False,pass_event_aware_interval_replay,True,,candidate_final_adjudication_replay_not_external_formalization
39,H004,common_source_event_aware_interval_replay_required,D060-00006002,A062-D060-00006002.d1rho1.d2rho1.d3y51.d4x51.d5y31.d6x31.d7rho0.d8y51.d9x51.d10y30.d11x30.d12rho1.d13x50.d14y30.d15x31.d16rho1.d17y31.d18y50.d19x31.d20rho1.d21x51.d22y50.d23y50.d24x51.d25y31.d26rho0.d27x30,h004_common_source_event_aware_record_freeze_candidate,frozen_common_source_event_aware_candidate_pending_interval_replay,0.0006771303893,True,True,False,pass_event_aware_interval_replay,True,,candidate_final_adjudication_replay_not_external_formalization
40,H004,common_source_event_aware_interval_replay_required,D060-00006002,A062-D060-00006002.d1rho1.d2rho1.d3y51.d4x51.d5y31.d6x31.d7rho0.d8y51.d9x51.d10y30.d11x30.d12rho1.d13x50.d14y30.d15x31.d16rho1.d17y30.d18y50.d19x30.d20rho0.d21x51.d22y50.d23y50.d24x51.d25x31.d26y31,h004_common_source_event_aware_record_freeze_candidate,frozen_common_source_event_aware_candidate_pending_interval_replay,0.000680717621742,True,True,False,pass_event_aware_interval_replay,True,,candidate_final_adjudication_replay_not_external_formalization
41,H004,common_source_event_aware_interval_replay_required,D060-00006002,A062-D060-00006002.d1rho1.d2rho1.d3y51.d4x51.d5y31.d6x31.d7rho0.d8y51.d9x51.d10y30.d11x30.d12rho1.d13x51.d14y30.d15x31.d16rho1.d17y30.d18y50.d19x30.d20rho0.d21y50.d22x50.d23y50.d24x50.d25x31.d26y31,h004_common_source_event_aware_record_freeze_candidate,frozen_common_source_event_aware_candidate_pending_interval_replay,0.000680717621742,True,True,False,pass_event_aware_interval_replay,True,,candidate_final_adjudication_replay_not_external_formalization
42,H004,common_source_event_aware_interval_replay_required,D060-00006002,A062-D060-00006002.d1rho1.d2rho1.d3y51.d4x51.d5y31.d6x31.d7rho0.d8y51.d9x51.d10y30.d11x30.d12rho1.d13x50.d14y30.d15x31.d16rho1.d17y31.d18y50.d19x31.d20rho0.d21x51.d22y50.d23y50.d24x51.d25y30.d26rho0.d27x30,h004_common_source_event_aware_record_freeze_candidate,frozen_common_source_event_aware_candidate_pending_interval_replay,0.000688984131571,True,True,False,pass_event_aware_interval_replay,True,,candidate_final_adjudication_replay_not_external_formalization
43,H004,common_source_event_aware_interval_replay_required,D060-00006002,A062-D060-00006002.d1rho1.d2rho1.d3y51.d4x51.d5y31.d6x31.d7rho0.d8y51.d9x51.d10y30.d11x30.d12rho1.d13x50.d14y30.d15x30.d16rho0.d17y31.d18y50.d19x51.d20y50.d21x31.d22y50.d23x51.d24y31.d25rho1.d26x31.d27rho1,h004_common_source_event_aware_record_freeze_candidate,frozen_common_source_event_aware_candidate_pending_interval_replay,0.000691932660781,True,True,False,pass_event_aware_interval_replay,True,,candidate_final_adjudication_replay_not_external_formalization
44,H004,common_source_event_aware_interval_replay_required,D060-00006002,A062-D060-00006002.d1rho1.d2rho1.d3y51.d4x51.d5y31.d6x31.d7rho0.d8y51.d9x51.d10y30.d11x30.d12rho1.d13x51.d14y30.d15x30.d16rho1.d17y30.d18y50.d19rho1.d20y50.d21x50.d22x31.d23y50.d24x51.d25y31.d26x31.d27rho0,h004_common_source_event_aware_record_freeze_candidate,frozen_common_source_event_aware_candidate_pending_interval_replay,0.000705074372423,True,True,False,pass_event_aware_interval_replay,True,,candidate_final_adjudication_replay_not_external_formalization
45,H004,common_source_event_aware_interval_replay_required,D060-00006002,A062-D060-00006002.d1rho1.d2rho1.d3y51.d4x51.d5y31.d6x31.d7rho0.d8y51.d9x51.d10y30.d11x30.d12rho1.d13x51.d14y30.d15x31.d16rho1.d17y31.d18y50.d19x31.d20rho0.d21y50.d22x50.d23y50.d24x50.d25y30.d26rho0.d27x30,h004_common_source_event_aware_record_freeze_candidate,frozen_common_source_event_aware_candidate_pending_interval_replay,0.000705321553103,True,True,False,pass_event_aware_interval_replay,True,,candidate_final_adjudication_replay_not_external_formalization
46,H004,common_source_event_aware_interval_replay_required,D060-00006002,A062-D060-00006002.d1rho1.d2rho1.d3y51.d4x51.d5y31.d6x31.d7rho0.d8y51.d9x51.d10y30.d11x30.d12rho1.d13x51.d14y30.d15x31.d16rho1.d17y31.d18y50.d19x31.d20rho0.d21y50.d22x50.d23y50.d24x50.d25y31.d26rho0.d27x30,h004_common_source_event_aware_record_freeze_candidate,frozen_common_source_event_aware_candidate_pending_interval_replay,0.000705321553103,True,True,False,pass_event_aware_interval_replay,True,,candidate_final_adjudication_replay_not_external_formalization
47,H004,common_source_event_aware_interval_replay_required,D060-00006002,A062-D060-00006002.d1rho1.d2rho1.d3y51.d4x51.d5y31.d6x31.d7rho0.d8y51.d9x51.d10y30.d11x30.d12rho1.d13x50.d14y30.d15x31.d16rho1.d17y31.d18y50.d19x30.d20rho1.d21x51.d22y50.d23y50.d24x50.d25y31.d26x31.d27rho0,h004_common_source_event_aware_record_freeze_candidate,frozen_common_source_event_aware_candidate_pending_interval_replay,0.000705823465852,True,True,False,pass_event_aware_interval_replay,True,,candidate_final_adjudication_replay_not_external_formalization
48,H004,common_source_event_aware_interval_replay_required,D060-00006002,A062-D060-00006002.d1rho1.d2rho1.d3y51.d4x51.d5y31.d6x31.d7rho0.d8y51.d9x51.d10y30.d11x30.d12rho1.d13x51.d14y30.d15x31.d16rho0.d17y31.d18y50.d19x31.d20y50.d21x50.d22y50.d23x50.d24y30.d25rho1.d26rho1.d27x30,h004_common_source_event_aware_record_freeze_candidate,frozen_common_source_event_aware_candidate_pending_interval_replay,0.000707115895091,True,True,False,pass_event_aware_interval_replay,True,,candidate_final_adjudication_replay_not_external_formalization
49,H004,common_source_event_aware_interval_replay_required,D060-00006002,A062-D060-00006002.d1rho1.d2rho1.d3y51.d4x51.d5y31.d6x31.d7rho0.d8y51.d9x51.d10y30.d11x30.d12rho1.d13x50.d14y30.d15x30.d16rho0.d17y31.d18y50.d19x51.d20y50.d21x31.d22y51.d23x51.d24y30.d25rho1.d26x31.d27rho1,h004_common_source_event_aware_record_freeze_candidate,frozen_common_source_event_aware_candidate_pending_interval_replay,0.000707306226703,True,True,False,pass_event_aware_interval_replay,True,,candidate_final_adjudication_replay_not_external_formalization
50,H004,common_source_event_aware_interval_replay_required,D060-00006002,A062-D060-00006002.d1rho1.d2rho1.d3y51.d4x51.d5y31.d6x31.d7rho0.d8y51.d9x51.d10y30.d11x30.d12rho1.d13x51.d14y30.d15x30.d16rho0.d17y31.d18y50.d19y50.d20x50.d21x31.d22y51.d23x50.d24y30.d25rho1.d26x31.d27rho1,h004_common_source_event_aware_record_freeze_candidate,frozen_common_source_event_aware_candidate_pending_interval_replay,0.000707306226703,True,True,False,pass_event_aware_interval_replay,True,,candidate_final_adjudication_replay_not_external_formalization
51,H004,common_source_event_aware_interval_replay_required,D060-00006002,A062-D060-00006002.d1rho1.d2rho1.d3y51.d4x51.d5y31.d6x31.d7rho0.d8y51.d9x51.d10y30.d11x30.d12rho1.d13x51.d14y30.d15x31.d16rho0.d17y31.d18y50.d19x30.d20y50.d21x50.d22y50.d23x50.d24y31.d25x30.d26rho1.d27rho1,h004_common_source_event_aware_record_freeze_candidate,frozen_common_source_event_aware_candidate_pending_interval_replay,0.000708408086845,True,True,False,pass_event_aware_interval_replay,True,,candidate_final_adjudication_replay_not_external_formalization
52,H004,common_source_event_aware_interval_replay_required,D060-00006002,A062-D060-00006002.d1rho1.d2rho1.d3y51.d4x51.d5y31.d6x31.d7rho0.d8y51.d9x51.d10y30.d11x30.d12rho1.d13x51.d14y30.d15x31.d16rho0.d17y31.d18y50.d19x30.d20y50.d21x50.d22y50.d23x50.d24y31.d25x31.d26rho1.d27rho1,h004_common_source_event_aware_record_freeze_candidate,frozen_common_source_event_aware_candidate_pending_interval_replay,0.000708408086845,True,True,False,pass_event_aware_interval_replay,True,,candidate_final_adjudication_replay_not_external_formalization
53,H004,common_source_event_aware_interval_replay_required,D060-00006002,A062-D060-00006002.d1rho1.d2rho1.d3y51.d4x51.d5y31.d6x31.d7rho0.d8y51.d9x51.d10y30.d11x30.d12rho1.d13x50.d14y30.d15x30.d16rho0.d17y31.d18y50.d19x51.d20y50.d21x31.d22y51.d23x51.d24y31.d25rho1.d26x31.d27rho1,h004_common_source_event_aware_record_freeze_candidate,frozen_common_source_event_aware_candidate_pending_interval_replay,0.000709890157871,True,True,False,pass_event_aware_interval_replay,True,,candidate_final_adjudication_replay_not_external_formalization
54,H004,common_source_event_aware_interval_replay_required,D060-00006002,A062-D060-00006002.d1rho1.d2rho1.d3y51.d4x51.d5y31.d6x31.d7rho0.d8y51.d9x51.d10y30.d11x30.d12rho1.d13x50.d14y30.d15x30.d16rho1.d17y31.d18y50.d19rho0.d20x51.d21y50.d22x31.d23y51.d24x51.d25y30.d26x31,h004_common_source_event_aware_record_freeze_candidate,frozen_common_source_event_aware_candidate_pending_interval_replay,0.000709890157871,True,True,False,pass_event_aware_interval_replay,True,,candidate_final_adjudication_replay_not_external_formalization
55,H004,common_source_event_aware_interval_replay_required,D060-00006002,A062-D060-00006002.d1rho1.d2rho1.d3y51.d4x51.d5y31.d6x31.d7rho0.d8y51.d9x51.d10y30.d11x30.d12rho1.d13x50.d14y30.d15x30.d16rho1.d17y31.d18y50.d19rho0.d20x51.d21y50.d22x31.d23y51.d24x51.d25y31.d26x31,h004_common_source_event_aware_record_freeze_candidate,frozen_common_source_event_aware_candidate_pending_interval_replay,0.000709890157871,True,True,False,pass_event_aware_interval_replay,True,,candidate_final_adjudication_replay_not_external_formalization
56,H004,common_source_event_aware_interval_replay_required,D060-00006002,A062-D060-00006002.d1rho1.d2rho1.d3y51.d4x51.d5y31.d6x31.d7rho0.d8y51.d9x51.d10y30.d11x30.d12rho1.d13x51.d14y30.d15x30.d16rho0.d17y31.d18y50.d19y50.d20x50.d21x31.d22y50.d23x50.d24y31.d25rho1.d26x31.d27rho1,h004_common_source_event_aware_record_freeze_candidate,frozen_common_source_event_aware_candidate_pending_interval_replay,0.000709890157871,True,True,False,pass_event_aware_interval_replay,True,,candidate_final_adjudication_replay_not_external_formalization
